epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,1053.26,0.86477,1.04166,0.95786,0.99842,1,0.995,0.78694,0.66308,5.18929,0.78259,0.000515,0.000515,0.000515
47,1075.62,0.88025,1.05958,0.95226,0.99857,1,0.995,0.80276,0.6342,5.10243,0.77257,0.000482,0.000482,0.000482
48,1098.07,0.90051,0.96636,0.90078,0.99857,1,0.995,0.80091,0.6298,5.06134,0.77194,0.000449,0.000449,0.000449
49,1120.49,1.00575,1.14521,0.9989,0.99857,1,0.995,0.79905,0.64473,4.96543,0.77449,0.000416,0.000416,0.000416
50,1143.56,0.90504,0.86875,0.90737,0.99854,1,0.995,0.79776,0.66277,4.9603,0.77895,0.000383,0.000383,0.000383
51,1165.95,0.81792,1.04143,0.92364,0.99856,1,0.995,0.80384,0.67889,4.95434,0.78542,0.00035,0.00035,0.00035
52,1188.65,0.98433,1.15287,1.1185,0.99854,1,0.995,0.79827,0.67848,4.956,0.78729,0.000317,0.000317,0.000317
53,1211.06,0.97167,1.17898,0.98942,0.99834,1,0.995,0.81012,0.66889,4.89823,0.78694,0.000284,0.000284,0.000284
54,1233.46,0.90486,1.897,0.89801,0.99836,1,0.995,0.81564,0.65751,4.8747,0.78524,0.000251,0.000251,0.000251
55,1255.75,0.89513,1.07908,0.98898,0.99826,1,0.995,0.82726,0.66396,4.84914,0.78964,0.000218,0.000218,0.000218
56,1278.03,0.90041,1.05114,0.99407,0.9983,1,0.995,0.82924,0.66966,4.83915,0.79121,0.000185,0.000185,0.000185
57,1300.27,0.92912,1.13381,1.00352,0.9986,1,0.995,0.81124,0.69495,4.80223,0.79823,0.000152,0.000152,0.000152
58,1322.59,0.95434,0.99674,0.99141,0.99866,1,0.995,0.79534,0.70803,4.79378,0.80191,0.000119,0.000119,0.000119
59,1345.04,0.87515,1.08641,0.92185,0.9987,1,0.995,0.80951,0.73227,4.77495,0.80908,8.6e-05,8.6e-05,8.6e-05
60,1367.32,0.85819,0.98081,0.94785,0.99869,1,0.995,0.80996,0.73324,4.78405,0.8086,5.3e-05,5.3e-05,5.3e-05
